name,type,state_default,variant_properties,state_options
"Style=Border, Position=Right","COMPONENT","","",""
"Style=Link, Position=Left","COMPONENT","","",""
"Style=Link, Position=Right","COMPONENT","","",""
"Style=Minimal Border, Position=Left","COMPONENT","","",""
"Style=Minimal Border, Position=Right","COMPONENT","","",""
"Style=Minimal Fill, Position=Left","COMPONENT","","",""
"Style=Minimal Fill, Position=Right","COMPONENT","","",""
"Style=Hyperlink, Position=Left","COMPONENT","","",""
"Style=Hyperlink, Position=Right","COMPONENT","","",""
"comp.duobutton.huegrey","COMPONENT_SET","","Style, Position",""
"Style=Fill, Position=Left","COMPONENT","","",""
"Style=Fill, Position=Right","COMPONENT","","",""
"Style=Border, Position=Left","COMPONENT","","",""
"Style=Border, Position=Right","COMPONENT","","",""
"Style=Link, Position=Left","COMPONENT","","",""
"Style=Link, Position=Right","COMPONENT","","",""
"Style=Minimal Border, Position=Left","COMPONENT","","",""
"Style=Minimal Border, Position=Right","COMPONENT","","",""
"Style=Minimal Fill, Position=Left","COMPONENT","","",""
"Style=Minimal Fill, Position=Right","COMPONENT","","",""
"Style=Hyperlink, Position=Left","COMPONENT","","",""
"Style=Hyperlink, Position=Right","COMPONENT","","",""
"comp.duobutton.disabled","COMPONENT_SET","","Position, Type",""
"Position=Left, Type=CTA Disabled","COMPONENT","","",""
"Position=Right, Type=CTA Disabled","COMPONENT","","",""
"Position=Right, Type=Sub-CTA Disabled","COMPONENT","","",""
"Position=Left, Type=Sub-CTA Disabled","COMPONENT","","",""
